Name;Style;Hop;Grams;Brewery
Punk IPA;IPA;Chinook;115;Brewdog
Punk IPA;IPA;Ahtanum;75;Brewdog
Punk IPA;IPA;Simcoe;50;Brewdog
Punk IPA;IPA;Nelson Sauvin;22,5;Brewdog
Punk IPA;IPA;Cascade;37,5;Brewdog
Punk IPA;IPA;Amarillo;10;Brewdog
Chaos Theory;IPA;Nelson Sauvin;87,5;Brewdog
Sink the Bismarck!;IPA;Columbus Extract;30,80;Brewdog
Sink the Bismarck!;IPA;Columbus;153,8;Brewdog
Sink the Bismarck!;IPA;Simcoe;134,6;Brewdog
Sink the Bismarck!;IPA;Centennial;153,8;Brewdog
Sink the Bismarck!;IPA;Amarillo;76,9;Brewdog
Bramling X;IPA;Bramling Cross;110;Brewdog
Citra;IPA;Citra;50;Brewdog
Nelson Sauvin;IPA;Nelson Sauvin;87,5;Brewdog
Dead Pony Club;Pale Ale;Simcoe;60;Brewdog
Dead Pony Club;Pale Ale;Citra;85;Brewdog
Dead Pony Club;Pale Ale;Mosaic;62,5;Brewdog
Nuns with Guns;Lager;Cascade;111,25;Brewdog
Nuns with Guns;Lager;Centennial;10;Brewdog
Nuns with Guns;Lager;Chinook;85;Brewdog
Nuns with Guns;Lager;Amarillo;85;Brewdog
Fake Lager;Lager;Magnum;12,5;Brewdog
Fake Lager;Lager;Hersbrucker;25;Brewdog
Fake Lager;Lager;Saaz;25;Brewdog
Dead Metaphor;Stout;Magnum;25;Brewdog
Jasmine IPA;IPA;Motueka;187,5;Brewdog
Jasmine IPA;IPA;Amarillo;150;Brewdog
Jasmine IPA;IPA;Jasmine;68,5;Brewdog
Magic Stone Dog;IPA;Simcoe;25;Brewdog
Magic Stone Dog;IPA;Amarillo;25;Brewdog
Cap Dog;IPA;Centennial;134,5;Brewdog
Cap Dog;IPA;Cascara;38,5;Brewdog
This. Is. Lager.;Lager;Columbus;5;Brewdog
This. Is. Lager.;Lager;Hersbrucker;12,5;Brewdog
This. Is. Lager.;Lager;Saaz;12,5;Brewdog
Hop Fiction;Pale Ale;Chinook;100;Brewdog
Hop Fiction;Pale Ale;Amarillo;100;Brewdog
Hop Fiction;Pale Ale;Mosaic;100;Brewdog
Vagabond Pale Ale;Pale Ale;Centennial;112,5;Brewdog
Vagabond Pale Ale;Pale Ale;Amarillo;27,5;Brewdog
Stereo Wolf Stout;Stout;Galena;7,5;Brewdog
Stereo Wolf Stout;Stout;Bramling Cross;12,5;Brewdog
Stereo Wolf Stout;Stout;Willamette;87,5;Brewdog
Stereo Wolf Stout;Stout;Centennial;87,5;Brewdog
B-SIDES – SUNSHINE ON RYE;IPA;Amarillo;52,5;Brewdog
B-SIDES – SUNSHINE ON RYE;IPA;Citra;52,5;Brewdog
B-SIDES – SUNSHINE ON RYE;IPA;Simcoe;52,5;Brewdog
B-SIDES – SUNSHINE ON RYE;IPA;Nelson Sauvin;22,5;Brewdog
Dog D;Stout;Chinook;50;Brewdog
Dog D;Stout;Fuggles;50;Brewdog
Dog D;Stout;Willamette;25;Brewdog
HELLO MY NAME IS HOLY MOOSE;IPA;Citra;75;Brewdog
HELLO MY NAME IS HOLY MOOSE;IPA;Challenger;6;Brewdog
HELLO MY NAME IS HOLY MOOSE;IPA;Centennial;62,5;Brewdog
HELLO MY NAME IS HOLY MOOSE;IPA;Mosaic;62,5;Brewdog
HELLO MY NAME IS HOLY MOOSE;IPA;Bramling Cross;62,5;Brewdog
HELLO MY NAME IS HOLY MOOSE;IPA;Nelson Sauvin;12,5;Brewdog
HELLO MY NAME IS HOLY MOOSE;IPA;Simcoe;12,5;Brewdog
Doodlebug;Pale Ale;Chinook;90;Brewdog
Doodlebug;Pale Ale;Amarillo;100;Brewdog
Doodlebug;Pale Ale;Mosaic;100;Brewdog
Elvis Juice;IPA;Magnum;2,5;Brewdog
Elvis Juice;IPA;Simcoe;75;Brewdog
Elvis Juice;IPA;Amarillo;75;Brewdog
Elvis Juice;IPA;Mosaic;25;Brewdog
Elvis Juice;IPA;Citra;75;Brewdog
Dog E;Stout;Chinook;25;Brewdog
Dog E;Stout;Sorachi Ace;50;Brewdog
Kingpin;Lager;Magnum;5;Brewdog
Kingpin;Lager;Perle;37,5;Brewdog
PARADOX ISLAY;Stout;Columbus;80;Brewdog
PARADOX ISLAY;Stout;Saaz;20;Brewdog
PARADOX ISLAY;Stout;First Gold;20;Brewdog
Prototype Helles;Lager;Perle;20;Brewdog
SCIENCE IPA;IPA;Centennial;20;Brewdog
SCIENCE IPA;IPA;Cascade;45;Brewdog
SCIENCE IPA;IPA;Amarillo;65;Brewdog
AB:21;Stout;Galena;40;Brewdog
AB:21;Stout;Bramling Cross;40;Brewdog
Dog B;Stout;Chinook;50;Brewdog
Dog B;Stout;Cascade;25;Brewdog
Dog B;Stout;Fuggles;50;Brewdog
Brooklyn Lager;Lager;Cascade;44,8;Brooklyn Brewery
Brooklyn Lager;Lager;Vanguard;12,5;Brooklyn Brewery
Brooklyn Lager;Lager;Hallertau Mittelfrüh;56,7;Brooklyn Brewery
Brooklyn Lager;Lager;Saphir;14,2;Brooklyn Brewery
Stella Artois;Lager;Saaz;56,7;AB Inbev
Heineken;Lager;Northern Brewer;14,2;Heineken
Heineken;Lager;Hersbrucker;28,3;Heineken
Sierra Nevada Pale Ale;Pale Ale;Nugget;28,3;Propagation Nation
Sierra Nevada Pale Ale;Pale Ale;Perle;14,2;Propagation Nation
Sierra Nevada Pale Ale;Pale Ale;Cascade;28,3;Propagation Nation
