Month;ipa bier: (Germany);pale ale bier: (Germany);helles bier: (Germany);porter bier: (Germany)
2012-01-01;46.25;100.07;65.71;47.88
2012-02-01;40.88;178.80;85.22;15.77
2012-03-01;43.65;122.28;75.37;19.41
2012-04-01;68.13;103.91;85.51;26.47
2012-05-26;69.27;180.00;125.99;22.00
2012-06-05;62.10;193.24;138.77;16.91
2012-07-12;128.77;189.03;130.25;18.03
2012-08-19;68.82;165.45;131.67;36.35
2012-09-26;22.90;54.00;53.93;5.99
2012-10-26;35.60;72.00;39.13;3.62
2012-11-26;39.24;90.00;41.73;6.98
2012-12-26;44.64;108.00;47.66;27.74
2013-01-01;54.67;106.74;67.56;42.97
2013-02-01;41.30;148.09;85.80;14.39
2013-03-01;47.66;98.35;79.28;14.93
2013-04-01;80.66;119.31;117.00;17.41
2013-05-26;70.72;209.14;135.99;17.83
2013-06-05;73.28;195.49;136.68;15.26
2013-07-12;112.26;205.65;126.39;17.33
2013-08-19;65.26;152.92;129.67;32.96
2013-09-26;22.26;49.18;56.70;5.53
2013-10-26;30.62;61.74;40.04;3.33
2013-11-26;40.68;77.62;41.59;6.79
2013-12-26;43.60;88.20;47.66;27.65
2014-01-01;43.68;90.06;34.69;29.60
2014-02-01;34.86;196.66;53.88;13.84
2014-03-01;42.96;101.86;46.29;16.83
2014-04-01;82.51;127.00;54.77;22.73
2014-05-26;76.25;207.05;99.49;21.61
2014-06-05;65.83;152.05;105.23;16.64
2014-07-12;128.56;193.19;97.75;17.71
2014-08-19;61.11;141.60;97.17;35.16
2014-09-26;23.74;53.75;23.92;5.52
2014-10-26;26.66;51.66;6.89;3.72
2014-11-26;42.84;78.41;9.23;7.80
2014-12-26;42.40;84.60;16.67;29.64
2015-01-01;41.11;100.07;32.47;47.40
2015-02-01;33.18;170.85;58.52;16.10
2015-03-01;37.86;80.14;46.29;19.01
2015-04-01;58.75;105.19;53.01;24.62
2015-05-26;62.80;200.07;113.39;22.24
2015-06-05;57.76;186.50;128.36;17.84
2015-07-12;122.08;166.18;113.18;18.61
2015-08-19;55.18;175.90;132.65;34.87
2015-09-26;19.50;47.46;31.28;5.75
2015-10-26;24.71;56.07;8.87;15.60
2015-11-26;36.00;68.90;12.44;15.60
2015-12-26;41.60;83.70;23.08;28.08
2016-01-01;47.53;111.19;90.43;47.40
2016-02-01;39.89;176.99;121.56;15.94
2016-03-01;37.14;100.69;112.90;17.64
2016-04-01;82.51;125.89;127.06;24.09
2016-05-26;73.20;196.81;180.26;22.24
2016-06-05;63.35;237.29;207.39;18.30
2016-07-12;113.36;176.02;165.27;18.54
2016-08-19;69.41;174.62;177.56;38.52
2016-09-26;21.20;45.85;75.74;5.71
2016-10-26;31.42;56.07;54.00;3.60
2016-11-26;41.04;62.09;58.82;7.39
2016-12-26;42.80;82.80;70.17;28.71
2017-01-01;42.82;111.19;52.53;48.37
2017-02-01;33.52;180.60;83.96;16.22
2017-03-01;36.41;117.08;69.94;19.60
2017-04-01;62.50;128.29;86.11;27.15
2017-05-26;65.54;232.64;139.99;26.11
2017-06-05;62.10;224.70;151.00;19.54
2017-07-12;123.81;207.73;136.62;20.85
2017-08-19;73.42;179.90;144.16;38.05
2017-09-26;21.20;57.19;39.57;6.14
